"doc_id","text","timestamp","team","region","year","month","day","weekday","hour"
1290277342221197312,"golden state warriors stephen curry  30 adidas nba blue t shirt boys lg new act quickly  $11 97<u+2026>",2020-08-03 13:24:25,"Golden State Warriors","Pacific",2020,"Aug",3,"Mon",13
1200559578053787648,"check out kevin garnett   brooklyn nets jersey   adidas youth large  kevingarnett  brooklynnets",2019-11-29 23:38:03,"Brooklyn Nets","Atlantic",2019,"Nov",29,"Fri",23
1234651084565745664,"check out nba 4 her okc oklahoma city thunder adidas women xl short sleeve t shirt new wp4  adidas",2020-03-03 01:25:31,"Oklahoma City Thunder","Northwest",2020,"Mar",3,"Tue",1
1288655803503775744,"boston celtics paul pierce adidas rare 2000s nba basketball xl shirt retro  34 <u+0001f449>",2020-07-30 02:01:00,"Boston Celtics","Atlantic",2020,"Jul",30,"Thu",2
1.275200676663e+18,"check out boston celtics nba  adidas structured snap back cap hat style  nh05z used  adidas via<u+2026>",2020-06-22 22:55:08,"Boston Celtics","Atlantic",2020,"Jun",22,"Mon",22
1270795773228220416,"golden state warriors stephen curry  30 adidas nba blue t shirt boys lg new don t delay $12 47  stephencurry<u+2026>",2020-06-10 19:11:37,"Golden State Warriors","Pacific",2020,"Jun",10,"Wed",19
1258753222010945536,"miami heat adidas lebron james nba all star shirt  kids boys blue medium used act quickly  $15 97  lebronjames<u+2026>",2020-05-08 13:38:49,"Miami Heat","Southeast",2020,"May",8,"Fri",13
1276187675679232000,"nba  celtics  adidas nba boston celtics stitched basketball jersey rajon rondo  9 size 50",2020-06-25 16:17:06,"Boston Celtics","Atlantic",2020,"Jun",25,"Thu",16
1195117417120202752,"check out milwaukee bucks vintage ray allen stitched jersey youth small free shipping  adidas",2019-11-14 23:12:51,"Milwaukee Bucks","Central",2019,"Nov",14,"Thu",23
1288190952247455744,"today  kinston native brandon ingram is footing the bill for 982 pairs of adidas shoes for staff at unc lenoir health c<u+2026>",2020-07-28 19:13:51,"New Orleans Pelicans","Southwest",2020,"Jul",28,"Tue",19
1209416689986785280,"gt  gt   lt  adidas nba golden state warriors david lee  10 jersey mens small length +2<u+2026>",2019-12-24 10:13:03,"Golden State Warriors","Pacific",2019,"Dec",24,"Tue",10
1223711851650830336,"check out what i just added to my closet on poshmark  adidas indiana pacers danny granger jersey size l <u+2026>",2020-02-01 20:56:55,"Indiana Pacers","Central",2020,"Feb",1,"Sat",20
1262764456569794560,"boston celtics paul pierce adidas rare 2000s nba basketball xl shirt retro  34 <u+0001f449>",2020-05-19 15:18:02,"Boston Celtics","Atlantic",2020,"May",19,"Tue",15
1299537038509772800,"utah jazz star partners with adidas to donate $90 000 for jacob blake s children s education",2020-08-29 02:39:08,"Utah Jazz","Northwest",2020,"Aug",29,"Sat",2
1203122026023727104,"los angeles clippers blake griffin  32 adidas shirt m $8 99   laclippers  clippernation  clippersnation  nba  losangeles<u+2026>",2019-12-07 01:20:18,"LA Clippers","Pacific",2019,"Dec",7,"Sat",1
1249034769222062080,"now on sale <u+2757><u+fe0f><u+2757><u+fe0f><u+2757><u+fe0f><u+2757><u+fe0f><u+2757><u+fe0f><u+2757><u+fe0f><u+2757><u+fe0f>  boston celtics paul pierce adidas rare 2000s nba basketball xl shirt retro <u+0001f449><u+2026>",2020-04-11 18:01:09,"Boston Celtics","Atlantic",2020,"Apr",11,"Sat",18
1211840598346551296,"round 3  matchup 2  the 2010 17 adidas home uniforms featured   thunder   on the chest  navy blue  yellow and orange<u+2026>",2019-12-31 02:44:48,"Oklahoma City Thunder","Northwest",2019,"Dec",31,"Tue",2
1264592061132615680,"nba  warriors  adidas nba jersey golden state warriors kevin durant black alt sz xl",2020-05-24 16:20:17,"Golden State Warriors","Pacific",2020,"May",24,"Sun",16
1210144497985884160,"cleveland cavaliers fleece pullover adidas youth medium or large $20 off nwt",2019-12-26 10:25:06,"Cleveland Cavaliers","Central",2019,"Dec",26,"Thu",10
