Country Name,Country Code,Indicator Name,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Literacy rate, adult total (% of people ages 15 and above)",,,,,97.80741882,,
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",,,,,43.01971817,,
Angola,AGO,"Literacy rate, adult total (% of people ages 15 and above)",66.03011322,,,,,,
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",,,,,98.14115143,,
Andorra,AND,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Arab World,ARB,"Literacy rate, adult total (% of people ages 15 and above)",75.71389008,73.49938965,74.84079742,75.76682281,72.86908722,73.11425018,
United Arab Emirates,ARE,"Literacy rate, adult total (% of people ages 15 and above)",,93.22714233,,,,,
Argentina,ARG,"Literacy rate, adult total (% of people ages 15 and above)",98.99388885,99.17996216,99.12500763,,99.0038681,,
Armenia,ARM,"Literacy rate, adult total (% of people ages 15 and above)",,,,99.73606873,,,
American Samoa,ASM,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Antigua and Barbuda,ATG,"Literacy rate, adult total (% of people ages 15 and above)",,98.94999695,,,,,
Australia,AUS,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Austria,AUT,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Azerbaijan,AZE,"Literacy rate, adult total (% of people ages 15 and above)",99.78898621,99.78806305,99.79006195,99.79122925,,,
Burundi,BDI,"Literacy rate, adult total (% of people ages 15 and above)",61.51348877,,,68.37532806,,,
Belgium,BEL,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Benin,BEN,"Literacy rate, adult total (% of people ages 15 and above)",,,,,42.36240005,,
Burkina Faso,BFA,"Literacy rate, adult total (% of people ages 15 and above)",34.59939957,,,,41.22444916,,
Bangladesh,BGD,"Literacy rate, adult total (% of people ages 15 and above)",61.09329987,65.1373291,72.7587204,72.89296722,73.91220093,74.6844635,
Bulgaria,BGR,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Bahrain,BHR,"Literacy rate, adult total (% of people ages 15 and above)",,,97.06668091,97.40389252,97.46418762,,
"Bahamas, The",BHS,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Bosnia and Herzegovina,BIH,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Belarus,BLR,"Literacy rate, adult total (% of people ages 15 and above)",,,,,99.75656128,,
Belize,BLZ,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Bermuda,BMU,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Bolivia,BOL,"Literacy rate, adult total (% of people ages 15 and above)",,92.45507813,,,,,
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",91.72943115,92.04789734,92.80844116,93.07582092,93.22750092,,
Barbados,BRB,"Literacy rate, adult total (% of people ages 15 and above)",99.59999847,,,,,,
Brunei Darussalam,BRN,"Literacy rate, adult total (% of people ages 15 and above)",,,,,97.21411133,,
Bhutan,BTN,"Literacy rate, adult total (% of people ages 15 and above)",,,,66.5611496,,,
Botswana,BWA,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Central African Republic,CAF,"Literacy rate, adult total (% of people ages 15 and above)",,,,,37.39582062,,
Canada,CAN,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Central Europe and the Baltics,CEB,"Literacy rate, adult total (% of people ages 15 and above)",98.96629333,98.9777298,98.99102783,,,,
Switzerland,CHE,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Channel Islands,CHI,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Chile,CHL,"Literacy rate, adult total (% of people ages 15 and above)",,96.87413025,,96.40228271,,,
China,CHN,"Literacy rate, adult total (% of people ages 15 and above)",,,,,96.84088898,,
Cote d'Ivoire,CIV,"Literacy rate, adult total (% of people ages 15 and above)",43.90842056,,,,47.16535187,,
Cameroon,CMR,"Literacy rate, adult total (% of people ages 15 and above)",,,,,77.07103729,,
"Congo, Dem. Rep.",COD,"Literacy rate, adult total (% of people ages 15 and above)",,,77.04267883,,,,
"Congo, Rep.",COG,"Literacy rate, adult total (% of people ages 15 and above)",,,,,80.29875946,,
Colombia,COL,"Literacy rate, adult total (% of people ages 15 and above)",94.18624878,94.24504852,94.65384674,,95.09250641,,
Comoros,COM,"Literacy rate, adult total (% of people ages 15 and above)",,,,,58.81702042,,
Cabo Verde,CPV,"Literacy rate, adult total (% of people ages 15 and above)",,86.79029083,,,,,
Costa Rica,CRI,"Literacy rate, adult total (% of people ages 15 and above)",,,,,97.86379242,,
Caribbean small states,CSS,"Literacy rate, adult total (% of people ages 15 and above)",91.34947968,91.44355774,,,,,
Cuba,CUB,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Curacao,CUW,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Cayman Islands,CYM,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Cyprus,CYP,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Czech Republic,CZE,"Literacy rate, adult total (% of people ages 15 and above)",,,99.8330307,,,,
Germany,DEU,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Djibouti,DJI,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Dominica,DMA,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Denmark,DNK,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Dominican Republic,DOM,"Literacy rate, adult total (% of people ages 15 and above)",91.76376343,91.99121094,93.77845764,,,,
Algeria,DZA,"Literacy rate, adult total (% of people ages 15 and above)",,,,,81.40783691,,
East Asia & Pacific (excluding high income),EAP,"Literacy rate, adult total (% of people ages 15 and above)",95.19567108,95.40923309,95.53955078,95.72928619,95.87911987,96.0267868,
Early-demographic dividend,EAR,"Literacy rate, adult total (% of people ages 15 and above)",77.23737335,77.95578003,78.57810211,79.01699829,79.35413361,79.84098816,
East Asia & Pacific,EAS,"Literacy rate, adult total (% of people ages 15 and above)",94.91773224,95.13826752,95.275383,95.47142792,95.62532043,95.7740097,
Europe & Central Asia (excluding high income),ECA,"Literacy rate, adult total (% of people ages 15 and above)",98.84980774,98.87846375,98.99887848,98.97245789,99.00773621,99.04348755,
Europe & Central Asia,ECS,"Literacy rate, adult total (% of people ages 15 and above)",98.11634827,98.16487122,98.25479126,98.27191925,98.33351898,98.37896729,
Ecuador,ECU,"Literacy rate, adult total (% of people ages 15 and above)",94.22264099,94.45565796,94.35022736,92.82978821,,,
"Egypt, Arab Rep.",EGY,"Literacy rate, adult total (% of people ages 15 and above)",,,,71.16825104,,,
Euro area,EMU,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Eritrea,ERI,"Literacy rate, adult total (% of people ages 15 and above)",,,,,76.57051849,,
Spain,ESP,"Literacy rate, adult total (% of people ages 15 and above)",98.09371948,98.14325714,98.25051117,,98.43650055,,
Estonia,EST,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Ethiopia,ETH,"Literacy rate, adult total (% of people ages 15 and above)",,,,51.7711792,,,
European Union,EUU,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Fragile and conflict affected situations,FCS,"Literacy rate, adult total (% of people ages 15 and above)",63.40736008,62.14889145,64.27200317,65.00601959,63.49599075,63.74937057,
Finland,FIN,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Fiji,FJI,"Literacy rate, adult total (% of people ages 15 and above)",,,,99.08210754,,,
France,FRA,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Faroe Islands,FRO,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
"Micronesia, Fed. Sts.",FSM,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Gabon,GAB,"Literacy rate, adult total (% of people ages 15 and above)",,,,,84.66716003,,
United Kingdom,GBR,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Georgia,GEO,"Literacy rate, adult total (% of people ages 15 and above)",99.58618927,,,99.36425781,,,
Ghana,GHA,"Literacy rate, adult total (% of people ages 15 and above)",,,,,79.03964233,,
Gibraltar,GIB,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
Guinea,GIN,"Literacy rate, adult total (% of people ages 15 and above)",32.0038414,,,,,,
"Gambia, The",GMB,"Literacy rate, adult total (% of people ages 15 and above)",,50.77796936,,,,,
Guinea-Bissau,GNB,"Literacy rate, adult total (% of people ages 15 and above)",45.5811615,,,,,,
Equatorial Guinea,GNQ,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,
